DATE,CRSPTM1,CRSPME1,CRSPLC1,CRSPMI1,CRSPSC1,CRSPMC1,CRSPSX1,CRSPTMT,CRSPMET,CRSPLCT,CRSPMIT,CRSPSCT,CRSPMCT,CRSPSXT,CRSPSM1,CRSPSMT,CAP_RESTATEMENT,CRSPRE1,CRSPEN1,CRSPMT1,CRSPID1,CRSPCS1,CRSPHC1,CRSPTE1,CRSPUT1,CRSPFN1,CRSPIT1,CRSPRET,CRSPENT,CRSPMTT,CRSPIDT,CRSPCST,CRSPHCT,CRSPTET,CRSPUTT,CRSPFNT,CRSPITT,SECTOR_RESTATEMENT,CRSPMEV1,CRSPMEG1,CRSPLCV1,CRSPLCG1,CRSPMIV1,CRSPMIG1,CRSPSCV1,CRSPSCG1,CRSPMEVT,CRSPMEGT,CRSPLCVT,CRSPLCGT,CRSPMIVT,CRSPMIGT,CRSPSCVT,CRSPSCGT,CRSPSMG1,CRSPSMGT,CRSPSMV1,CRSPSMVT,VG_RESTATEMENT
2011-06-03,978.75,979.73,980.75,985.50,969.64,943.65,,981.89,983.36,984.12,987.63,971.45,945.11,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-06,967.14,969.28,969.72,971.76,954.09,930.93,,970.26,972.88,973.07,973.92,955.89,932.38,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-07,966.89,967.80,968.97,974.40,957.12,932.55,,970.05,971.42,972.35,976.65,958.95,934.03,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-08,961.70,964.40,964.59,965.44,946.95,922.30,,965.03,968.21,968.16,967.92,948.83,923.80,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-09,968.54,971.56,971.60,971.71,953.09,926.08,,971.90,975.40,975.20,974.21,955.00,927.63,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-10,954.67,957.90,957.82,957.39,938.33,913.66,,957.99,961.70,961.38,959.88,940.22,915.20,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-13,954.48,958.75,958.03,954.65,935.81,909.96,,958.09,962.89,961.90,957.25,937.93,911.71,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-14,967.55,970.25,970.29,970.44,954.29,925.29,,971.27,974.49,974.25,973.13,956.51,927.08,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-15,950.96,953.45,953.54,953.92,938.70,909.40,,954.65,957.63,957.47,956.70,940.99,911.30,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-16,952.13,955.16,954.70,952.53,939.20,915.90,,955.97,959.52,958.79,955.42,941.52,917.89,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-17,954.68,957.79,957.50,956.11,940.23,916.60,,958.53,962.16,961.61,959.01,942.56,918.59,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-20,960.15,962.69,962.69,962.66,947.89,920.23,,964.04,967.09,966.83,965.61,950.28,922.24,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
