filter_config,N,K,config_T,config_fix_mu,results_steps_mean,results_steps_median,results_steps_std,timing_total_script_duration_s_mean,timing_total_script_duration_s_median,timing_total_script_duration_s_std,accuracy_state_estimation_factor_rmse_mean_mean,accuracy_state_estimation_factor_rmse_mean_median,accuracy_state_estimation_factor_rmse_mean_std,accuracy_state_estimation_factor_correlation_mean_mean,accuracy_state_estimation_factor_correlation_mean_median,accuracy_state_estimation_factor_correlation_mean_std,accuracy_state_estimation_volatility_rmse_mean_mean,accuracy_state_estimation_volatility_rmse_mean_median,accuracy_state_estimation_volatility_rmse_mean_std,accuracy_state_estimation_volatility_correlation_mean_mean,accuracy_state_estimation_volatility_correlation_mean_median,accuracy_state_estimation_volatility_correlation_mean_std,loss_diff_mean,loss_diff_median,loss_diff_std,success_rate
BIF,5,2,500,1,71.2,60.0,39.124161332864375,79.49280333518982,67.5779595375061,33.934196497815385,3.9023502065401217,3.9766322446708404,1.8663401006062037,0.7644088708302258,0.7641602030909087,0.033113971808832965,1.706946403333952,1.7148380520848354,0.06466170776499774,0.8526193383302466,0.8627976305126748,0.03495065757534636,53.700579161118526,63.73224937927466,53.42957559045762,100.0
PF-1000,10,5,2000,0,209.4,194.0,90.62449999862068,138.69668741226195,123.6149914264679,63.17713857090611,1.5561296216528449,1.5711152999091123,0.23183573655646844,0.749242565000031,0.7624740419787864,0.022153557912449544,1.9605061079730863,1.9707736406676308,0.07702342714374306,0.6390656526020736,0.6462583222409682,0.03603784891963371,-198962.4375,-233089.03125,94405.64019676698,100.0
PF-10000,10,2,500,0,291.8,252.0,145.25907889009898,271.1232182025909,218.79616904258728,143.4622780849306,1.4965956107288572,1.1984977957704737,0.9586419783737296,0.9891030432672592,0.9860104005493062,0.005839850453000724,2.0104549726106815,1.8455248439698289,0.556816133307982,0.7718585974641419,0.7501104732568284,0.06567203046607002,-21002.14794921875,763.4326171875,72701.63128891485,100.0
PF-5000,15,2,1000,0,315.6,263.0,116.71460919696386,290.3223253726959,265.68968772888184,76.6206970314156,1.7129503598884566,1.3029903998108023,1.1928923184604672,0.9699671883520438,0.9838857156850982,0.024574359030329833,1.75318613889268,1.6649332400519785,0.17313844278635357,0.8362914312971274,0.8438823512145589,0.015079042077998133,-250907.5630859375,-48227.7041015625,422829.4981223647,100.0
PF-1000,15,3,500,0,320.4,307.0,142.31760256552946,50.95502729415894,50.828070640563965,9.381285348288813,2.50000465354538,1.2133633336533471,2.501883712499569,0.858170786517011,0.9026288864663193,0.09341555026490823,2.368540652538728,2.0585644136208763,0.6596563229048572,0.6459683186604317,0.6336841017961529,0.10003947272527348,19160.85,-28091.904296875,175456.56364437175,100.0
PF-1000,5,2,2000,0,537.25,516.0,92.62963888518621,124.62393474578857,109.71458733081818,48.92377711442484,5.793204597797324,5.116143785082393,5.099216467571673,0.988873211021781,0.9913210594860766,0.007234025243471299,2.640749124360509,2.319284038848924,0.9770337203861615,0.6772531317678367,0.737142122017134,0.21632928940035206,2337206.5993652344,800019.5244140625,3672921.8709145314,100.0
PF-10000,5,3,2000,0,201.6,182.0,63.208385519644466,697.4123635292053,595.1055560112,312.34815163357246,0.9925277926332059,1.0895017137487355,0.37131001575561134,0.950036927788277,0.9514059800526021,0.008200353043214885,1.7177079140965639,1.707879093960946,0.09435555895480463,0.8091428222653827,0.8126173243155405,0.010079056287083762,25808.7359375,10764.068359375,40501.77045703933,100.0
PF-5000,5,2,500,0,262.8,268.0,107.43230426645424,67.44345526695251,64.69692778587341,12.434926487947466,2.154586269272676,1.530408868312253,1.4677362714270448,0.8371373393228506,0.9751976350233162,0.2450241254865943,2.0897500201738466,1.7070901188035172,1.1817765844078711,0.5491537173426846,0.6276691774618437,0.222686045617652,101335.8216796875,47774.4697265625,119553.76584714872,100.0
PF-5000,15,5,1000,1,277.2,289.0,49.41861997263784,245.90313811302184,226.88948464393616,97.58773977294649,10.191584271311095,8.406121458930922,5.113483767189094,0.7061179480347928,0.6677508287001619,0.14989848337959877,3.356313652044372,2.5788616042167845,1.6892045085427023,0.455525101241861,0.5545412935560201,0.26606785089984003,26780910.3,8116899.5,48447225.765385166,100.0
PF-1000,5,3,500,0,206.4,230.0,50.88025157170511,37.49086585044861,39.487993001937866,6.094514147899665,1.0195472441369877,0.7468371836187068,0.5909079460644074,0.905887735982521,0.9162602010790698,0.03344644397970218,1.822924033166363,1.7260086658492229,0.37194936440095083,0.6267735154185232,0.7054245685074122,0.1453928575829668,12920.090380859376,-2729.7861328125,33756.46518499985,100.0
