N,K,T,num_particles,seed,bf_time,pf_time,bf_rmse_f,bf_corr_f,bf_rmse_h,bf_corr_h,pf_rmse_f,pf_corr_f,pf_rmse_h,pf_corr_h,error,bf_rmse_f_mean,bf_rmse_h_mean,bf_corr_f_mean,bf_corr_h_mean,pf_rmse_f_mean,pf_rmse_h_mean,pf_corr_f_mean,pf_corr_h_mean
10,3,1000,1000.0,11301,,0.9156804084777832,,,,,[0.65333465 0.72132043 0.56575162],[0.97031446 0.89488698 0.9878893 ],[0.19139801 0.26240572 0.11277787],[-0.00040182 -0.04056928 -0.03676192],,,,,,0.6468022332023743,0.18886053295824246,0.9510302490918544,-0.02591100658875294
10,3,1000,1000.0,11302,,0.8909368515014648,,,,,[0.61770841 0.46024648 0.33068718],[0.6317267  0.70864893 0.91253032],[0.26091096 0.15432909 0.09879846],[0.01903827 0.00736603 0.02430856],,,,,,0.4695473562518255,0.17134617166237223,0.75096865070606,0.016904288047753444
10,3,1000,10000.0,20300,,3.7660725116729736,,,,,[0.40365924 0.40922178 0.44000698],[0.80152441 0.84387583 0.81656488],[0.19548295 0.20198671 0.18369595],[ 0.01727632 -0.01380623 -0.01105211],,,,,,0.4176293343891015,0.1937218694609758,0.820655041176654,-0.0025273429032617693
10,3,1000,10000.0,20301,,3.7545528411865234,,,,,[0.47671333 0.60507683 0.44118804],[0.83870352 0.7248682  0.87674826],[0.19799911 0.10933076 0.19468767],[0.07052116 0.02678458 0.01775995],,,,,,0.5076593979480508,0.16733918077637525,0.8134399912360196,0.03835522903023734
10,3,1000,10000.0,20302,,3.8023152351379395,,,,,[0.39511355 0.32682671 0.46910817],[0.893908   0.821004   0.90718333],[0.19594409 0.16054795 0.31313523],[0.0255473  0.0449225  0.03611101],,,,,,0.3970161460288219,0.22320908958285948,0.874031774378398,0.03552693593631451
10,5,1000,,10500,0.5221297740936279,,[0.29644508 0.38861654 0.48863071 0.31765312 0.40743046],[0.97772676 0.96282538 0.94066993 0.93429816 0.9686763 ],[0.1250665  0.1992128  0.1890809  0.37047101 0.14349762],[0.03428308 0.07958261 0.15580356 0.1713857  0.09857005],,,,,,0.3797551810080898,0.2054657632303051,0.956839305603989,0.10792499944527104,,,,
10,5,1000,,10501,0.4980180263519287,,[0.29496257 0.25786718 0.5041159  0.31869723 0.30750502],[0.88975655 0.94057644 0.96116261 0.88906861 0.95517943],[0.87300108 0.30360332 0.43742971 0.1904987  0.19884323],[-0.05317971 -0.02631502 -0.02606932 -0.02061006 -0.03114278],,,,,,0.3366295796042541,0.4006752084528661,0.9271487274575566,-0.03146337643589957,,,,
10,5,1000,,10502,0.47870659828186035,,[0.36981576 0.43492119 0.26331851 0.39414499 0.23119966],[0.94911144 0.9309987  0.97382449 0.94180972 0.95925805],[0.36363961 0.39869784 0.30336589 0.24575942 0.27915911],[0.12879877 0.1752181  0.14611317 0.13332361 0.10549311],,,,,,0.3386800192813699,0.3181243737558797,0.9510004808809297,0.13778935159479716,,,,
10,5,1000,1000.0,11500,,0.9991500377655029,,,,,[0.57229551 0.52119626 0.80538437 0.63445757 0.56142122],[0.60646308 0.3275143  0.53327206 0.52414832 0.8670976 ],[0.28969386 0.31947131 0.46278845 0.56825926 0.42143994],[0.06676072 0.00625947 0.03198815 0.04908751 0.03195478],,,,,,0.6189509829516691,0.41233056609321894,0.5716990738956005,0.0372101261484054
10,5,1000,1000.0,11501,,1.0733728408813477,,,,,[0.54387811 0.72853153 0.6441795  0.51147206 0.45076924],[0.80753988 0.40601245 0.74291875 0.75506277 0.72381084],[0.39502753 0.26673698 0.25730971 0.17971634 0.23462819],[0.0036008  0.04324874 0.05639543 0.02609617 0.01932672],,,,,,0.5757660855852469,0.26668375101768726,0.6870689376255382,0.02973357227309607
10,5,1000,1000.0,11502,,1.0947566032409668,,,,,[0.67094172 0.45830708 0.61044449 0.4632618  0.63509821],[0.75414514 0.79428229 0.57369491 0.86908819 0.3592531 ],[0.44600357 0.36211032 0.27652269 0.20286628 0.32962436],[-0.04105571 -0.02582485  0.0609131  -0.01490044  0.02037394],,,,,,0.5676106614255285,0.32342544369004,0.6700927265101924,-9.879139028561856e-05
10,5,1000,10000.0,20500,,5.5525963306427,,,,,[0.420865   0.77200949 0.63814582 0.61320914 0.58028054],[0.87937904 0.73613596 0.92001056 0.79960714 0.93852778],[0.28117659 0.28384676 0.47237431 0.51392715 0.27420245],[0.06795808 0.08401433 0.06024927 0.07605422 0.01691155],,,,,,0.6049019982438437,0.36510545058644367,0.8547320981192975,0.061037488989538445
10,5,1000,10000.0,20501,,5.465174436569214,,,,,[0.34086272 0.43300251 0.34073519 0.64014028 0.52081728],[0.97738429 0.8723954  0.93832502 0.76765191 0.88096579],[0.30058076 0.56523253 0.8620422  0.97393269 0.66333547],[0.01379077 0.20030181 0.20304965 0.28925096 0.24563367],,,,,,0.4551115932184273,0.6730247318243554,0.8873444804888134,0.19040536928387852
